Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
200068229;CC des Baronnies en Drôme Provençale;19.5
200068278;CC Berry Loire Puisaye;33
200068294;CC des Deux Vallées Vertes;40.9
200068369;CC de Mirecourt Dompaire;40.2
200068377;CC de la Porte des Vosges Méridionales;111.7
200068435;CC Cœur du Perche;29.3
200068443;CC Andaine - Passais;39.4
200068450;CC Argentan Intercom;47.2
200068468;CC des Pays de L'Aigle;47.3
200068484;CC des Causses à l'Aubrac;19.6
200068500;CA de Cambrai;198.7
200068534;CC Terroir de Caux;77.5
200068542;CC Les Balcons du Dauphiné;124.2
200068559;CC de l'Ouest Vosgien;32
200068567;CC Les Vals du Dauphiné;181
200068625;CC Alpes-Provence-Verdon - Sources de Lumière;6.7
200068641;CA Le Muretain Agglo;381.3
200068658;CA de Chaumont;48.3
200068666;CA de Saint-Dizier Der et Blaise;61.4
200068674;CA Grand Lac;252.9
200068682;CC Terre d'Eau;42.6
200068757;CA d'Épinal;99.5
200068765;CC du Sisteronais-Buëch;16.9
200068773;CC des Vosges côté Sud Ouest;17.3
200068781;CA Valence Romans Agglo;237.5
200068799;CC Intercom de la Vire au Noireau;59.4
200068807;CC du Bassin Auterivain Haut-Garonnais;103.4
200068815;CC Cœur de Garonne;61
200068831;CC Pays Ségali Communauté;31
200068856;CC des Hauts du Perche;21.2
200068864;CC de la Mossig et du Vignoble;141.2
200068872;CC Éguzon - Argenton - Vallée de la Creuse;43.5
200068880;CC Champagne Boischauts;13.9
200068914;CC La Rochefoucauld porte du Périgord;46.5
200068922;CC du Confluent et des Coteaux de Prayssas;48.2
200068930;CC Fumel Vallée du Lot;54.3
200068948;CC Albret Communauté;35.3
200068955;CC Anjou Loir et Sarthe;61.4
200068963;CC Maine Cœur de Sarthe;113.5
200068989;CA Dinan Agglomération;104.7
200068997;CA Arlysère;79.8
200069003;CC du Barséquanais en Champagne;23.2
200069029;CA des Deux Baies en Montreuillois;161.6
200069037;CA du Pays de Saint-Omer;193.5
200069052;CA Grand Belfort;393.2
200069060;CC des Vosges du Sud;87.1
200069086;CC Leff Armor Communauté;72.9
200069094;CC Isle et Crempse en Périgord;33.5
