Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Population municipale 2019
200067320;CC Serre-Ponçon Val d'Avance;7679
200067346;CA Pornic Agglo Pays de Retz;64343
200067361;CC Grand-Figeac;43654
200067379;CC Côtes de Champagne et Val de Saulx;11565
200067429;CC Haut Nivernais-Val d'Yonne;11960
200067437;CA Provence-Alpes-Agglomération;47463
200067445;CC Buëch-Dévoluy;9383
200067452;CC du Guillestrois et du Queyras;7968
200067460;CC Loudéac Communauté - Bretagne Centre;51202
200067478;CC Comtal Lot et Truyère;19536
200067486;CC Bouzonvillois-Trois Frontières;24121
200067502;CA Saint-Avold Synergie;52757
200067544;CC Creuse Confluence;16467
200067551;CA Thonon Agglomération;90531
200067593;CC Marche et Combraille en Aquitaine;13351
200067627;CC Billom Communauté;25912
200067635;CA Clisson Sèvre et Maine Agglo;56135
200067643;CC Meurthe Mortagne Moselle;16673
200067650;CC Houve-Pays Boulageois;23019
200067668;CC de la Cléry, du Betz et de l'Ouanne;20074
200067676;CC Canaux et Forêts en Gâtinais;27401
200067684;CA Épernay, Coteaux et Plaine de Champagne;47514
200067692;CC Tannay-Brinon-Corbigny;9623
200067700;CC Sud Nivernais;20491
200067742;CC Serre-Ponçon;16677
200067759;CC Vallées et Plateau d'Ardenne;24667
200067767;CC du Royans-Vercors;9593
200067783;CC de Hanau-La Petite Pierre;26445
200067791;CA Pays Foix-Varilhes;31947
200067817;CC Saône-Beaujolais;44540
200067825;CA Gap-Tallard-Durance;50483
200067841;CC de l'Alsace Bossue;24399
200067866;CC Sèvre et Loire;48655
200067874;CA de Haguenau;97508
200067882;CC Bazois Loire Morvan;15378
200067890;CC Morvan Sommets et Grands Lacs;12215
200067908;CC Amognes Cœur du Nivernais;8538
200067916;CC Cœur de Loire;24976
200067924;CC du Canton d'Erstein;48137
200067932;CA Golfe du Morbihan - Vannes Agglomération;171704
200067940;CC Couserans-Pyrénées;30002
200067957;CC Haut Chemin-Pays de Pange;19294
200067965;CA de la Région de Compiègne et de la Basse Automne;83159
200067973;CC Thelloise;61248
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;73427
200067999;CA du Beauvaisis;103985
200068005;CC de l'Oise Picarde;21088
200068047;CA Creil Sud Oise;88008
200068070;CC Loue-Lison;25427
200068088;CC Les Bertranges;19865
200068096;CC Champsaur-Valgaudemar;11251
200068104;CA de la Provence Verte;99760
200068112;CC du Pays de Saverne;35836
200068120;CA Quimper Bretagne Occidentale;100994
200068146;CC Sarrebourg Moselle Sud;45573
200068229;CC des Baronnies en Drôme Provençale;21073
200068278;CC Berry Loire Puisaye;17943
200068294;CC des Deux Vallées Vertes;15784
200068369;CC de Mirecourt Dompaire;18863
200068377;CC de la Porte des Vosges Méridionales;29262
200068435;CC Cœur du Perche;11268
200068443;CC Andaine - Passais;13162
200068450;CC Argentan Intercom;33409
200068468;CC des Pays de L'Aigle;25658
200068484;CC des Causses à l'Aubrac;14547
200068500;CA de Cambrai;81335
200068534;CC Terroir de Caux;37872
200068542;CC Les Balcons du Dauphiné;77331
200068559;CC de l'Ouest Vosgien;23270
200068567;CC Les Vals du Dauphiné;63325
200068625;CC Alpes-Provence-Verdon - Sources de Lumière;11422
200068641;CA Le Muretain Agglo;123234
200068658;CA de Chaumont;44441
200068666;CA de Saint-Dizier Der et Blaise;56395
200068674;CA Grand Lac;76759
200068682;CC Terre d'Eau;17536
200068757;CA d'Épinal;111025
200068765;CC du Sisteronais-Buëch;25103
200068773;CC des Vosges côté Sud Ouest;11923
200068781;CA Valence Romans Agglo;223826
200068799;CC Intercom de la Vire au Noireau;46362
200068807;CC du Bassin Auterivain Haut-Garonnais;32756
200068815;CC Cœur de Garonne;34937
200068831;CC Pays Ségali Communauté;17996
200068856;CC des Hauts du Perche;8163
200068864;CC de la Mossig et du Vignoble;24668
200068872;CC Éguzon - Argenton - Vallée de la Creuse;19580
200068880;CC Champagne Boischauts;9836
200068914;CC La Rochefoucauld porte du Périgord;21757
200068922;CC du Confluent et des Coteaux de Prayssas;18277
200068930;CC Fumel Vallée du Lot;24428
200068948;CC Albret Communauté;26013
200068955;CC Anjou Loir et Sarthe;27903
200068963;CC Maine Cœur de Sarthe;21395
200068989;CA Dinan Agglomération;98270
200068997;CA Arlysère;61292
200069003;CC du Barséquanais en Champagne;18705
200069029;CA des Deux Baies en Montreuillois;65940
200069037;CA du Pays de Saint-Omer;105142
200069052;CA Grand Belfort;102583
200069060;CC des Vosges du Sud;15145
200069086;CC Leff Armor Communauté;31404
200069094;CC Isle et Crempse en Périgord;14427
200069102;CC Randon - Margeride;5301
200069110;CA du Grand Chambéry;136503
200069128;CC Mont Lozère;5523
200069136;CC des Cévennes au Mont Lozère;5028
200069144;CC des Hautes Terres de l'Aubrac;5084
200069151;CC Gorges Causses Cévennes;6929
200069169;CC Dômes Sancy Artense;12621
200069177;CC Mond'Arverne Communauté;40663
200069185;CC des Terres d'Apcher-Margeride-Aubrac;10682
200069193;CC de la Dombes;39383
200069227;CC Pays Fort Sancerrois Val de Loire;18334
200069235;CC du Haut Pays du Montreuillois;15757
200069250;CA Troyes Champagne Métropole;172900
200069268;CC Aubrac Lot Causses Tarn;7954
200069300;CA Tarbes-Lourdes-Pyrénées;125346
200069383;CC Ouest Aveyron Communauté;27224
200069391;CA Lamballe Terre et Mer;67875
200069409;CA Saint-Brieuc Armor Agglomération;151755
200069417;CC Pays d'Orthe et Arrigans;23854
200069425;CA Mont-Saint-Michel-Normandie;87613
200069433;CC de Vezouze en Piémont;11693
200069441;CC du Pays de Bitche;33840
200069458;CC des Vallées d'Auge et du Merlerault;14353
200069482;CC des Campagnes de l'Artois;33179
200069516;CC Seulles Terre et Mer;17208
200069524;CC Pré-Bocage Intercom;24782
200069532;CA Lisieux Normandie;73252
200069540;CC Norge et Tille;16120
200069565;CC des Lacs et Montagnes du Haut-Doubs;16214
200069581;CC Convergence Garonne;32677
200069599;CC Rurales de l'Entre-deux-Mers;16560
200069615;CC Bresse Haute Seille;19032
200069623;CC Champagnole Nozeroy Jura;22702
200069631;CC Terres de Chalosse;18108
200069649;CC Chalosse Tursan;25966
200069656;CC Cœur Haute Lande;15698
200069664;CC Meuse Rognon;10740
200069672;CC du Ternois;37989
200069698;CC Mâconnais - Tournugeois;15688
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;21417
200069730;CC des 4 Rivières;29270
200069748;CC Val de Gâtine;21530
200069755;CC Mellois en Poitou;47387
200069763;CC du Haut-Poitou;41729
200069821;CA Fécamp Caux Littoral Agglomération;38310
200069839;CC de la Côte d'Albâtre;27800
200069847;CC Plateau de Caux-Doudeville-Yerville;21156
200069854;CU du Grand Poitiers;195262
200069912;CC des Forêts du Perche;7750
200069953;CC des Portes Euréliennes d'Île-de-France;48578
200069961;CC du Grand Châteaudun;40208
200069995;CC Médoc Cœur de Presqu'île;30387
200070035;CC du Civraisien en Poitou;27349
200070043;CC Vienne et Gartempe;39169
200070068;CC Communauté Bray-Eawy;25106
200070092;CA du Libournais;91475
200070100;CC du Val de Sully;24443
200070118;CC Val de Saône Centre;20651
