Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;285
200069730;CC des 4 Rivières;406
200069748;CC Val de Gâtine;287
200069755;CC Mellois en Poitou;648
200069763;CC du Haut-Poitou;390
200069821;CA Fécamp Caux Littoral Agglomération;499
200069839;CC de la Côte d'Albâtre;326
200069847;CC Plateau de Caux-Doudeville-Yerville;181
200069854;CU du Grand Poitiers;1675
200069912;CC des Forêts du Perche;118
200069953;CC des Portes Euréliennes d'Île-de-France;359
200069961;CC du Grand Châteaudun;581
200069995;CC Médoc Cœur de Presqu'île;312
200070035;CC du Civraisien en Poitou;425
200070043;CC Vienne et Gartempe;610
200070068;CC Communauté Bray-Eawy;316
200070092;CA du Libournais;908
200070100;CC du Val de Sully;284
200070118;CC Val de Saône Centre;183
200070126;CC Seine et Aube;119
200070142;CC Lyons Andelle;203
200070159;CC Cœur de Beauce;250
200070167;CC Terres de Perche;186
200070183;CC des Terres du Val de Loire;488
200070233;CA Terres de Montaigu;374
200070282;CC Lavalette Tude Dronne;224
200070290;CC Coeur du Pays Haut;234
200070308;CA Mâconnais Beaujolais Agglomération;862
200070316;CC Entre Arroux, Loire et Somme;383
200070324;CC du Territoire de Lunéville à Baccarat;493
200070332;CC des Savoir-Faire;263
200070340;CC Haute Maurienne Vanoise;99
200070365;CC Corbières Salanque Méditerranée;246
200070373;CC Loir-Lucé-Bercé;423
200070407;CA Agglo Pays d'Issoire;590
200070431;CC Saint-Marcellin Vercors Isère Communauté;531
200070449;CC Inter-Caux-Vexin;469
200070464;CC Cœur de Maurienne Arvan;176
200070506;CC Pays de Nexon Monts de Chalus;188
200070514;CA du Grand Cognac;793
200070530;CC du Grand Autunois Morvan;560
200070548;CC Brionnais Sud Bourgogne;236
200070555;CC de la Veyle;198
200070563;CC Terres Touloises;405
200070571;CC Cœur de Berry;53
200070589;CC de Seille et Grand Couronné;132
200070647;CA Bergeracoise;756
200070662;CC Bretagne porte de Loire Communauté;279
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;300
200070688;CC Couesnon Marches de Bretagne;270
200070712;CC Thiers Dore et Montagne;475
200070720;CC Médoc Atlantique;369
200070738;CC Mad et Moselle;304
200070746;CA Sarreguemines Confluences;801
200070753;CA Riom Limagne et Volcans;616
200070761;CC Ambert Livradois Forez;407
200070779;CC Brie des Rivières et Châteaux;254
200070787;CC du Plateau de Lannemezan;230
200070795;CC du Pays de Trie et du Magnoac;128
200070803;CC des Coteaux du Val d'Arros;100
200070811;CC Pyrénées Vallées des Gaves;232
200070829;CC Neste Barousse;169
200070845;CC Orne Lorraine Confluences;733
200070852;CC Usses et Rhône;171
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;285
200070902;CC Auxonne Pontailler Val de Saône;275
200070910;CC Tille et Venelle;68
200070928;CC Terre de Picardie;166
200070936;CC Ponthieu-Marquenterre;457
200070944;CC du Vimeu;258
200070951;CC du Territoire Nord Picardie;342
200070969;CC Avre Luce Noye;198
200070977;CC du Grand Roye;355
200070985;CC de l'Est de la Somme;288
200070993;CA de la Baie de Somme;721
200071017;CC des Terres d'Auxois;254
200071025;CC Haute-Provence-Pays de Banon;119
200071033;CC Jabron-Lure-Vançon-Durance;77
200071041;CC du Chaourçois et du Val d'Armance;164
200071058;CC Les Avant-Monts;275
200071066;CA de Saint-Dié-des-Vosges;991
200071074;CC Les Portes de l'Ile de France;167
